,Startups,Startups_1_person,"All Economic Activities, 2 to 10 Employed Persons","All Economic Activities, 10 to 50 Employed Persons","All Economic Activities, 50 to 250 Employed Persons","Netherlands, Gross Domestic Product, Total, Total, Constant Prices, SA, EUR [billions]","Netherlands, GDP [thousands]","Netherlands, Interbank Rates, EURIBOR, 1 Month, Fixing","Netherlands, Three month money market rate","Netherlands, Policy Rates, ECB, Fixed Rate Tenders","Netherlands, Eurostat, HICP, All-Items HICP, 2015=100, Index","Netherlands, Employment","Netherlands, Monetary Statistics, Monetary Aggregates, M3, Total (incl. Currency in Circulation), EUR [billions]","Netherlands, Eurostat, Consumer Surveys, Eurostat, Consumer Confidence, Price Trends Over the Next 12 Months","Netherlands, Composite PMI, EUR","Netherlands, OECD Economic Outlook, Hours Worked per Worker, Total Economy, Estimate, Calendar Adjusted, SA","Netherlands, Total hours worked","Netherlands, Eurostat, Employment & Unemployment, Unemployment, LFS Adjusted Series, Unemployment by Sex & Age - Monthly Average, Males & Females, All Ages, Total, Percentage of Active Population, SA","Netherlands, Unemployment","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Credit Standards Past 3 Months, Enterprises, Total","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Demand for Loans Past 3 Months, Enterprises, Total","Netherlands, BIS Credit to Non-Financial Sectors, From All Sectors To Non Financial Sector, Market Value, Adjusted for Breaks, EUR [billions]","Netherlands, Deposits & Loans, MFIs, Loans, By Entity, to Euro Area Residents, Private Sector, Non-Financial Private Corporations, Total, EUR [billions]","Netherlands, Wages & Salaries, Wages, Hourly, Total, Incl. Bonus, Index","Netherlands, Producer Price Index, C Manufactured Products, Index","Netherlands, OECD MEI, Producer Prices Index, Economic Activities, Manufacturing, Total, Index","Netherlands, DG ECFIN AMECO, Population & Employment, Unemployment, NAWRU, Estimate","Netherlands, Gross Domestic Product, Total, Total, Current Prices, SA, EUR [billions]","Netherlands, Nominal GDP [thousands]","Netherlands, Government Benchmarks, Macrobond, 5 Year, Yield","Euro Area, Swap Rates, Macrobond, EUR, 5 Year, Mid","Euro Area 19, Long term interest rate","Netherlands, ECB, Interest Rates, MFI Interest Rates, Non-Financial Corporations, Loans (Cost Borrowing Indicator, Sum of A2A & A2Z (Non-Financial Corporations)), Annualised Agreed Rate (AAR) / Narrowly Defined Effective Rate (NDER), Total Calculated by Weighting the Volumes with a Moving Average, Total, New Business, Currency Denominator: Euro","Netherlands, Income Approach, Total Economy, Operating Surplus, Net, Current Prices, SA, EUR [billions]","Netherlands, OECD QNA, Gross Domestic Product, Gross Domestic Product - Expenditure Approach, Final Consumption Expenditure, Private Final Consumption Expenditure, Total, OECD Reference Year, Constant Prices, SA, AR, EUR [billions]","Netherlands, Eurostat, Job Vacancy, Job Vacancy Rate, Total, Business Economy (B-N), SA","World, Crude Oil, Brent, Spot, FOB North Sea, ICE, Close, USD","Natural Gas, Dutch TTF Natural Gas (TTFI), Index, EUR"
"Netherlands, Nominal GDP [thousands]",0.010042017111584214,-0.010094786330593767,0.07691850697469284,-0.004807055233493722,0.11913326365123943,0.7837816384601823,0.7805885035738668,0.2753917032608195,0.23012600194430294,0.14322320223513524,0.1668483214431043,0.5310091075029376,-0.2176219755768232,0.03960181375584296,0.45337152544693105,-0.1561022270195509,-0.20183466696415242,-0.2277471275433901,-0.21532660779664342,0.09490963860809103,-0.13734904750386404,-0.30251171487328554,0.01818434592292171,0.3902228999178211,0.39824812313436403,0.39182880341479814,-0.07839584873032965,0.9209303711372596,1.0,0.2254961608953644,0.22559406126465562,0.15077535002408174,0.29422522920648914,0.7236374450771802,0.7624191676451065,0.22300025163434548,0.20857205987924674,0.06450159344673943
"Netherlands, Government Benchmarks, Macrobond, 5 Year, Yield",0.09497815586376628,0.12272921279782865,-0.04405793841290318,0.05719908558099627,-0.10049499706945812,0.16810481712202513,0.16923539926419326,0.4693453911635321,0.5103228407608659,0.35430153193413294,0.3596657721077468,0.2263823058818608,0.06888317547931827,-0.0021015371321935787,0.14620091164422533,-0.083357460404182,0.090479769028366,-0.16067603521843654,-0.16107891937470153,-0.09925105530575135,-0.1202226280925255,-0.3024003879270643,0.09868251103269374,-0.046008254115567915,0.3980760795023167,0.5112696106687631,-0.10057007209556736,0.2956669546543822,0.2254961608953644,1.0,0.9299249758520588,0.847034339236882,0.5446544908803421,0.23100812641286117,0.11492500155861204,0.052459298357642216,0.4385261322912049,-0.1351323985203082
"Euro Area, Swap Rates, Macrobond, EUR, 5 Year, Mid",0.09531584767931923,0.09088302544836944,0.06446248201515595,0.17598658588069055,0.04171580984810807,0.21966306203435687,0.22199535540167784,0.5577183130748244,0.6111540887043526,0.4047666129768917,0.4191391726773741,0.21115796038203533,0.11753672807937424,0.09008882121998718,0.16281173838163496,-0.029061454197627172,0.11341738461773053,-0.18907216204874494,-0.19046215266202923,-0.11170937761536187,-0.06254599751075189,-0.27498090789483504,0.13631577100319808,-0.22244248911086384,0.5134575150905898,0.6075885503374755,-0.12915680338312627,0.3237798922238141,0.22559406126465562,0.9299249758520588,1.0,0.843885008881407,0.6058090904094788,0.32154229938791196,0.12484808002896583,0.15806858267803278,0.4814888381247144,-0.02017022160702619
"Euro Area 19, Long term interest rate",0.13929265385002546,0.16119534686004708,0.00014041175093206507,0.11134370174057595,-0.03200241126391408,0.11263650236431161,0.11680650176845761,0.3319346550324802,0.3897284730364776,0.2732386975411764,0.42235111876057446,0.22295796642260834,0.1068397456076182,0.04523895816345192,0.057548165601330616,0.014423997575048548,0.1029171106655805,-0.1742466690767612,-0.17465800977378576,-0.08944524530744703,-0.11051283377142077,-0.21818200950164354,0.0810703153327857,-0.17834424507958277,0.4718538609726975,0.5650876758943807,-0.10620852039662336,0.22540881089819081,0.15077535002408174,0.847034339236882,0.843885008881407,1.0,0.3993004023111032,0.1359606099596666,0.05656002987907054,0.08165228111121557,0.42807715679719893,-0.0064533044160304
"Netherlands, ECB, Interest Rates, MFI Interest Rates, Non-Financial Corporations, Loans (Cost Borrowing Indicator, Sum of A2A & A2Z (Non-Financial Corporations)), Annualised Agreed Rate (AAR) / Narrowly Defined Effective Rate (NDER), Total Calculated by Weighting the Volumes with a Moving Average, Total, New Business, Currency Denominator: Euro",0.09156306948866402,0.024647594746841976,0.28013360220260275,0.2425006622694982,0.1731421432447254,0.11075247009456958,0.104925600354546,0.949110280993767,0.9448063598441541,0.6350800318454797,0.12488469692179058,0.17272304323814816,-0.12965753848547024,0.15026329237722993,-0.019140984596621724,0.010872101619010607,0.07447703391708302,-0.11795344460543127,-0.112827622336715,-0.09540374285947899,0.1389242672516601,-0.25242020259331593,0.06308234125539139,0.24257069662238093,-0.29902369897694847,0.27816786079143574,0.0009467472858409893,0.30534879365327583,0.29422522920648914,0.5446544908803421,0.6058090904094788,0.3993004023111032,1.0,0.32340182801775763,0.046272260906915504,0.15573194135901244,0.14682338952291413,-0.3146712491043267
"Netherlands, Income Approach, Total Economy, Operating Surplus, Net, Current Prices, SA, EUR [billions]",-0.050820038612908756,-0.07807994901207416,0.06731319856639859,-0.031041366169857528,0.15523530389374407,0.6749901462583949,0.6740761951463966,0.3637539476052126,0.3250275339102221,0.2719498463864905,0.09714778673853272,0.45373215348353385,-0.03725262092271697,0.018811310163767612,0.4006442542505279,-0.04457080014109912,-0.101272504119721,-0.2887911540665746,-0.2857070321719021,-0.04154003924660596,-0.12866947595357126,-0.1901027391814215,0.08103846325792595,0.18774598348414212,0.5455211235549714,0.4716485398186449,-0.043629096777549545,0.7293637380664594,0.7236374450771802,0.23100812641286117,0.32154229938791196,0.1359606099596666,0.32340182801775763,1.0,0.5755758389281107,0.2795128382150427,0.18847980720208354,0.10657687860257183
"Netherlands, OECD QNA, Gross Domestic Product, Gross Domestic Product - Expenditure Approach, Final Consumption Expenditure, Private Final Consumption Expenditure, Total, OECD Reference Year, Constant Prices, SA, AR, EUR [billions]",-0.04199197735638804,-0.04413578602927107,-0.015797224968199946,-0.034203508605431615,0.00413818644054331,0.8901663923823249,0.8837052766987861,0.07535046727544373,0.022015848570613533,0.10115716052513363,0.09862310448215253,0.4580719585304215,-0.09094271097127175,-0.11622283716424807,0.48025171399207983,-0.18998693295637517,-0.19507765701559238,-0.1674149784514018,-0.1880960960561506,0.05138811263318207,-0.19975466812299567,-0.20195563992131876,0.13437695356001872,0.1247717462069322,0.4168475109635803,0.33953602596264787,-0.06628684163814613,0.8326966515899036,0.7624191676451065,0.11492500155861204,0.12484808002896583,0.05656002987907054,0.046272260906915504,0.5755758389281107,1.0,0.3002432373411477,0.2297441167177504,0.075753432977662
"Netherlands, Eurostat, Job Vacancy, Job Vacancy Rate, Total, Business Economy (B-N), SA",0.1253674464752045,0.09870334881891038,0.16740335821861213,0.16738159296024882,0.041765909597703835,0.31627915983375715,0.31584027219581334,0.1649897259362527,0.15395283325762832,2.2969133204376958e-17,-0.009257269020275094,0.09478127469776138,-0.0012161290535393856,0.13151445737390793,0.12370014966731277,0.22806829074059373,0.25262961400282846,-0.25066341103286943,-0.2188834132144421,-0.27662267284742065,0.16251396041853025,-0.13887624149775532,-0.06512231933822099,-0.09930150483809012,0.34491582623316264,0.34162534811707895,-0.1377056581888109,0.3036508697291684,0.22300025163434548,0.052459298357642216,0.15806858267803278,0.08165228111121557,0.15573194135901244,0.2795128382150427,0.3002432373411477,1.0,0.21464382448315913,-0.13492131436190097
"World, Crude Oil, Brent, Spot, FOB North Sea, ICE, Close, USD",0.12531850745374445,0.16509555895932926,-0.0704743190200691,0.08379886412692993,-0.0042160008224522445,0.3601601342529482,0.3647787425743997,0.10699363507292747,0.1478103599072382,0.06999298631478787,0.24734491142884743,0.09292454257340539,-0.14376404802915743,0.2921567749820438,0.47760965122177923,-0.07968134291876934,0.0648355623395834,-0.17231614344697788,-0.1696346915039487,-0.1647704111600511,-0.1470464669370541,-0.3124946542871827,-0.018621668953440647,-0.07716580575590958,0.8144205952190252,0.777709728845046,-0.1096715247311228,0.279670676529048,0.20857205987924674,0.4385261322912049,0.4814888381247144,0.42807715679719893,0.14682338952291413,0.18847980720208354,0.2297441167177504,0.21464382448315913,1.0,0.060478207256454586
"Natural Gas, Dutch TTF Natural Gas (TTFI), Index, EUR",-0.07167584504450344,-0.06121744311976567,-0.08406003302056514,-0.026395314688176998,-0.014185982520637944,0.09348299429757097,0.09284436141245646,-0.35196290168144795,-0.21748740008859604,-0.14842597224480844,0.41928794609424563,-0.04768472050226742,0.33800640484132755,0.28709895828362236,-0.09150924177898866,0.03959650834129035,0.03228372598879294,0.07765565998070549,0.09513363169959793,0.20844780059607418,0.23132427910866643,0.3540135239973709,0.1560294233693349,-0.3670553991816454,0.2347875479647749,0.2107896055101728,-0.011217476482744652,0.07523132897935128,0.06450159344673943,-0.1351323985203082,-0.02017022160702619,-0.0064533044160304,-0.3146712491043267,0.10657687860257183,0.075753432977662,-0.13492131436190097,0.060478207256454586,1.0
